Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$, -   , -   , -   
11010101301,CAJA PRINCIPAL U$, 2'053'744.25 , 2'000'948.85 , 88'499.66 
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE), -   , -   , -   
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE), 2'056'732.42 , 2'376'640.98 , 2'526'005.99 
11040101201,Caja Chica, 26'048.91 , 28'974.28 , 4'704.69 
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV, -   , -   , -   
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$, 1'714'017.24 , 1'510'684.25 , 11'425'066.24 
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV, -   , -   , -   
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$, 545'102.06 , 564'141.86 , 2'049.05 
14010201301,Cartera sobre saldos créditos vigentes (Prestamos Personales) U$, -   , -   , -   
14010301301,Cartera sobre saldos créditos vigentes (Prestamos Hipotecarios) U$, -   , -   , -   
14030101301,Cartera de Créditos Reestructurado (Préstamos Microcreditos) MN con MV, 60'729.68 , -   , 60'729.68 
14040101101,Cartera de Créditos vencidos (Préstamos Microcreditos) MN con MV, -   , -   , -   
14040201301,Cartera sobre saldos créditos vencidos (Prestamos Personales) U$, -   , -   , -   
14040301301,Cartera sobre saldos créditos vencidos (Prestamos Hipotecarios) U$, -   , -   , -   
14050101101,Cartera de Créditos cobro judicial (Préstamos Microcreditos) MN con MV, -   , -   , -   
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV, -   , -   , -   
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$, -   , -   , -   
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV, -   , -   , -   
14080101301,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) U$, -   , 22'786.54 ,-893'006.47 
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , -   
15010901201,Otros Bienes Recibido en Recuperación de Créditos, -   , -   , -   
15010101301,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , 33'495.37 
16020101101,Anticipos proveedores MNL, -   , -   , -   
16020101201,Anticipos proveedores (Aporte CONAMI), -   , 3'502.93 , -   
16020101202,Anticipos proveedores (EFRAIN BLANDON), -   , -   , 10'987.29 
16020101203,Anticipos proveedores (Varios), 121'044.35 , 75'630.22 , 285'706.16 
16020601101,Cuentas por Cobrar al Personal, -   , -   , -   
16020601201,Cuentas por Cobrar al Personal, 48'344.02 , 63'622.04 , 57'204.96 
18030101201,MOBILIARIOS, 388.95 , 1'815.92 , 88'464.46 
18030201201,EQUIPOS , -   , 2'601.65 , 52'434.46 
18040101201,Equipos de computación, 7'731.45 , 3'263.24 , 66'976.80 
18050101201,Vehiculos, -   , -   , -   
19010301201,Impuesto Pagados por Anticipado, 44'069.77 , 61'020.31 , 44'020.30 
19010601201,Mantenimientos Pagados Por Anticipado, -   , -   , -   
